id,category_name
1,Education
2,Religion
3,Fiction
4,Socialism
5,"English language"
6,Authors
7,Architecture
8,History
9,"Vietnamese language"
10,Philosophy
11,Science
12,"Antiques & Collectibles"
13,"Technology & Engineering"
14,"Foreign Language Study"
15,"Young Adult Nonfiction"
16,Computers
17,Mathematics
18,Algorithms
19,"Business & Economics"
20,Vietnam
21,Names
22,"Thái Nguyên (Vietnam : Province)"
23,Geography
24,"Bá̆c Giang (Vietnam : Province)"
25,"Bắc Giang (Vietnam : Province)"
26,Civilization
27,Animals
28,"Comics & Graphic Novels"
29,"Juvenile Nonfiction"
30,"Juvenile Fiction"
31,"Young Adult Fiction"
32,"Biography & Autobiography"
33,Dragons
34,"Literary Criticism"
35,"Language Arts & Disciplines"
36,Art
37,"American fiction"
38,"United States"
39,"Family & Relationships"
40,"Performing Arts"
41,"Didactic fiction"
42,"Military cadets"
43,Blind
44,"Study Aids"
45,"Computer programming"
46,"Electric digital computers"
47,Travel
48,Body
49,"Social Science"
50,Folklore
51,"Arthurian romances"
52,Devil
53,"Christian art and symbolism"
54,"Germanic peoples"
55,Greece
56,Mythology
57,"World history"
58,California
59,"Military art and science"
60,Almanacs
61,"Thanh Hóa (Vietnam : Province)"
62,Battles
63,"Communist parties"
64,"Political refugees"
65,History
66,Law
67,"Vietnamese literature"
68,Authors
69,Literature
70,"Linguistic analysis (Linguistics)"
71,"Art and literature"
72,"Chinese literature"
73,"Arts and society"
74,Catalogs
75,"Vietnamese poetry"
76,Poetry
77,"Truyện Phan Trà̂n"
